gene_id	f1.expected_count	f2.expected_count	f3.expected_count	f4.expected_count	f5.expected_count	f6.expected_count	f7.expected_count	f8.expected_count	f9.expected_count	f10.expected_count	f11.expected_count	f12.expected_count
WBGene00000001	1571.70	1332.89	695.16	0	472.21	1611.65	1313.62	1230.24	2246.74	816.70	1013.15	1381.19
WBGene00000002	277.00	206.00	326.00	754.00	255.00	268.00	272.00	522.00	612.00	463.00	542.00	217.00
WBGene00000003	180.00	126.00	199.00	607.00	334.00	139.00	227.00	479.00	318.00	239.00	231.00	96.00
WBGene00000004	384.00	287.00	427.00	821.00	251.00	349.00	364.00	815.00	400.00	401.00	392.00	240.00
WBGene00000005	128.00	90.00	107.00	251.00	68.00	101.00	72.00	178.00	242.00	235.00	223.00	99.00
WBGene00000006	483.00	386.00	689.00	1348.00	1052.00	399.00	366.00	1136.00	355.00	655.00	440.00	198.00
WBGene00000007	377.00	285.00	404.00	871.00	448.00	355.00	352.00	774.00	470.00	344.00	505.00	165.00
WBGene00000008	11.00	9.00	12.00	37.00	9.00	16.00	6.00	27.00	10.00	17.00	15.00	12.00
WBGene00000009	106.00	90.00	173.34	351.00	206.00	89.00	119.00	457.00	77.00	112.00	88.00	31.52
WBGene00000010	790.00	613.00	843.00	1782.00	192.00	856.97	929.00	1651.00	1544.00	963.00	1087.00	966.00
WBGene00000012	22.00	23.00	6.00	11.00	20.00	18.00	18.00	23.00	12.00	5.00	6.00	11.00
WBGene00000013	349.00	325.00	683.00	1215.00	1896.00	301.00	157.00	912.00	102.00	330.00	436.00	66.00
WBGene00000014	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.00	0.00
WBGene00000015	0.00	0.00	2.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	2.00	0.00
WBGene00000016	755.00	637.00	1116.00	2201.00	1610.00	607.00	461.00	2211.00	418.00	1127.00	972.00	261.00
WBGene00000017	1140.00	870.00	1540.00	2929.00	797.00	953.00	766.00	2653.00	948.00	1154.00	1549.00	471.00
WBGene00000018	586.00	406.00	202.00	366.00	148.00	532.00	628.00	460.00	883.00	226.00	276.00	567.00
WBGene00000019	131.00	61.00	36.00	58.00	29.00	95.00	162.00	128.00	153.00	46.00	37.00	63.00
WBGene00000020	914.00	691.00	984.00	1371.00	565.00	794.00	961.00	1299.00	824.00	597.00	704.00	491.00
WBGene00000021	3.00	4.00	0.00	0.00	0.00	2.00	3.00	2.00	6.00	0.00	0.00	1.00
WBGene00000022	832.00	620.00	1028.00	1604.00	1078.00	728.00	665.00	1355.00	1087.00	1253.00	1324.00	678.00
WBGene00000023	161.00	115.00	37.00	56.00	19.00	125.00	167.00	117.00	204.00	77.00	84.00	88.00
WBGene00000024	57.60	69.25	77.02	90.75	29.23	79.18	33.64	50.98	241.82	176.07	137.87	162.78
WBGene00000025	1.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	1.00	0.00	1.00
WBGene00000026	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	2.00	0.00	0.00
WBGene00000027	0.00	5.00	4.00	4.06	4.06	0.00	1.00	4.45	10.95	5.59	9.33	6.40
WBGene00000028	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
WBGene00000029	20.20	11.74	18.71	27.61	10.84	13.85	9.63	12.06	106.39	105.43	92.16	71.71
WBGene00000030	39.34	15.14	46.53	60.94	22.85	43.81	12.65	11.47	103.19	117.24	73.56	85.75
WBGene00000031	311.12	203.16	372.06	605.12	446.84	302.43	206.73	452.32	340.61	374.01	396.62	262.43
WBGene00000032	13.15	9.49	2.19	4.38	6.58	13.57	10.85	0.00	52.62	19.00	17.54	24.12
WBGene00000033	95.00	68.00	146.00	309.00	184.00	108.00	52.00	161.00	142.00	205.00	237.00	95.00
WBGene00000034	169.00	124.00	247.00	345.00	201.00	187.00	115.00	231.00	211.00	221.00	304.00	124.00
WBGene00000035	239.00	209.00	184.00	310.00	28.00	226.00	259.00	312.00	264.00	60.00	130.00	142.00
WBGene00000036	577.00	422.00	828.00	1577.00	243.00	461.00	692.00	1531.00	683.00	820.00	692.00	365.00
WBGene00000037	216.00	150.00	317.00	517.00	123.00	224.00	175.00	521.00	180.00	179.00	196.00	112.00
WBGene00000038	41.00	22.00	44.00	106.00	47.00	38.00	33.00	76.00	46.00	35.00	28.00	20.00
WBGene00000039	282.33	216.00	409.00	622.48	363.00	238.00	286.00	730.00	319.00	462.00	608.00	235.00
WBGene00000040	8415.00	6389.00	8546.00	16920.00	9252.00	7527.00	7107.00	13915.00	7846.00	9620.00	8376.00	4807.00
WBGene00000041	34169.16	25521.05	27203.89	64566.10	14147.92	31863.27	31772.54	62537.11	28152.91	30807.05	29375.08	18248.26
WBGene00000042	35.00	20.00	44.32	54.00	14.00	17.00	35.88	67.00	40.10	34.00	23.00	27.00
WBGene00000043	12.00	14.00	12.00	14.00	3.00	15.00	13.00	14.00	19.00	10.00	9.00	11.00
WBGene00000044	38.00	25.00	17.00	38.00	7.00	24.00	40.00	54.00	47.00	31.00	24.00	14.00
WBGene00000045	5.00	5.00	2.00	6.00	0.00	12.00	7.00	3.00	5.00	0.00	1.00	3.00
WBGene00000046	28.38	17.00	11.08	17.58	7.00	19.25	32.00	20.07	27.36	4.00	4.00	7.00
WBGene00000047	58.00	37.00	33.00	83.00	46.00	50.00	64.00	94.00	57.00	22.00	36.00	24.00
WBGene00000048	36.00	23.00	13.00	28.00	19.00	24.00	22.00	46.00	17.00	17.00	15.00	16.00
WBGene00000049	10.00	4.00	4.00	11.00	3.00	17.00	8.00	12.00	12.00	12.00	6.00	9.00
WBGene00000050	50.00	37.00	20.00	36.00	35.00	28.00	52.00	43.00	65.00	22.00	14.00	22.00
WBGene00000051	94.00	58.00	82.00	164.00	68.00	85.00	76.00	154.00	77.00	97.00	54.00	49.00
WBGene00000053	6.00	4.00	4.00	10.00	2.00	5.00	10.00	2.00	6.00	9.00	4.00	5.00
WBGene00000054	169.00	130.00	94.00	224.00	84.00	170.00	126.00	191.00	133.00	87.00	95.00	62.00
WBGene00000055	68.00	34.00	82.00	144.00	50.00	50.00	62.00	120.00	79.00	76.00	74.00	29.00
